mnemonic,description
32D___USD,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Private Sector, US Dollars"
32CB__XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Public Non-financial Corporations, Claims on Cooperatives, National Currency"
32CG__XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Public Non-financial Corporations, Claims on Nonbank Public Financial Institutions, National Currency"
32CA__XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Public Non-financial Corporations, Claims on Public Corporations, National Currency"
32C___EUR,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Public Non-financial Corporations, Euros"
32C___XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Public Non-financial Corporations, National Currency"
32C___USD,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on Public Non-financial Corporations, US Dollars"
32BX__XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on State and Local Government or Official Entities, Claims on Official Entities, National Currency"
32B___EUR,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on State and Local Government or Official Entities, Euros"
32B___XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on State and Local Government or Official Entities, National Currency"
32B___USD,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Claims on State and Local Government or Official Entities, US Dollars"
32____EUR,"Non-standardized Presentation (Monetary Survey), Domestic Claims, Euros"
32____XDC,"Non-standardized Presentation (Monetary Survey), Domestic Claims, National Currency"
32____USD,"Non-standardized Presentation (Monetary Survey), Domestic Claims, US Dollars"
31____XDC,"Non-standardized Presentation (Monetary Survey), Foreign Assets, National Currency"
31N___EUR,"Non-standardized Presentation (Monetary Survey), Foreign Assets, Net Foreign Assets, Euros"
31N___XDC,"Non-standardized Presentation (Monetary Survey), Foreign Assets, Net Foreign Assets, National Currency"
31N___USD,"Non-standardized Presentation (Monetary Survey), Foreign Assets, Net Foreign Assets, US Dollars"
36CL__XDC,"Non-standardized Presentation (Monetary Survey), Foreign Liabilities, Long-Term Foreign Liabilities, National Currency"
36C___XDC,"Non-standardized Presentation (Monetary Survey), Foreign Liabilities, National Currency"
36I___XDC,"Non-standardized Presentation (Monetary Survey), Liabilities To Other Banking Institutions, National Currency"
36J___XDC,"Non-standardized Presentation (Monetary Survey), Liabilities to Other Financial Corporations, National Currency"
36J___USD,"Non-standardized Presentation (Monetary Survey), Liabilities to Other Financial Corporations, US Dollars"
36M___XDC,"Non-standardized Presentation (Monetary Survey), Money Market Fund Shares, National Currency"
34A___XDC,"Non-standardized Presentation (Monetary Survey), Money, Currency Issued, National Currency"
34B_N_XDC,"Non-standardized Presentation (Monetary Survey), Money, Demand Deposits, National Currency"
34____EUR,"Non-standardized Presentation (Monetary Survey), Money, Euros"
34____XDC,"Non-standardized Presentation (Monetary Survey), Money, National Currency"
34____SA_XDC,"Non-standardized Presentation (Monetary Survey), Money, Seasonally adjusted, National Currency"
34____SA_USD,"Non-standardized Presentation (Monetary Survey), Money, Seasonally adjusted, US Dollar"
34____USD,"Non-standardized Presentation (Monetary Survey), Money, US Dollars"
34A__V1_XDC,"Non-standardized Presentation (Monetary Survey), Money, Variations of Currency Issued, National Currency"
37R___EUR,"Non-standardized Presentation (Monetary Survey), Other Items (Net), Euros"
37R___XDC,"Non-standardized Presentation (Monetary Survey), Other Items (Net), National Currency"
37R___USD,"Non-standardized Presentation (Monetary Survey), Other Items (Net), US Dollars"
37RV__XDC,"Non-standardized Presentation (Monetary Survey), Other Items (Net), Valuation Adjustment, National Currency"
36X___XDC,"Non-standardized Presentation (Monetary Survey), Other Liquid Liabilities, National Currency"
35____EUR,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Euros"
35B___XDC,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Excluding Foreign Currency Deposits, National Currency"
35X___XDC,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Including Foreign Currency Deposits, National Currency"
35L___EUR,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Money plus Quasi-Money, Euros"
35L___XDC,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Money plus Quasi-Money, National Currency"
35L___PA,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Money plus Quasi-Money, Percent per annum"
35L___PC_CP_A_PT,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Money plus Quasi-Money, Percentage change, corresponding period previous year, Percent"
35L___SA_XDC,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Money plus Quasi-Money, Seasonally Adjusted, National Currency"
35L___USD,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Money plus Quasi-Money, US Dollars"
35____XDC,"Non-standardized Presentation (Monetary Survey), Quasi-Money, National Currency"
35__N_XDC,"Non-standardized Presentation (Monetary Survey), Quasi-Money, Other Deposits, National Currency"
35____USD,"Non-standardized Presentation (Monetary Survey), Quasi-Money, US Dollars"
36B___EUR,"Non-standardized Presentation (Monetary Survey), Restricted Deposits, Euros"
36B___XDC,"Non-standardized Presentation (Monetary Survey), Restricted Deposits, National Currency"
36B___USD,"Non-standardized Presentation (Monetary Survey), Restricted Deposits, US Dollars"
36AB__XDC,"Non-standardized Presentation (Monetary Survey), Securities Other Than Shares, Bonds, National Currency"
36AC__XDC,"Non-standardized Presentation (Monetary Survey), Securities Other Than Shares, Liabilities of Central Bank: Securities, National Currency"
36AC__USD,"Non-standardized Presentation (Monetary Survey), Securities Other Than Shares, Liabilities of Central Bank: Securities, US Dollars"
36AA__XDC,"Non-standardized Presentation (Monetary Survey), Securities Other Than Shares, Money Market Instruments, National Currency"
36AA__USD,"Non-standardized Presentation (Monetary Survey), Securities Other Than Shares, Money Market Instruments, US Dollars"
36A___XDC,"Non-standardized Presentation (Monetary Survey), Securities Other Than Shares, National Currency"
47A___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Capital Accounts, National Currency"
47A___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Capital Accounts, US Dollars"
46F___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Central Government Lending Funds, National Currency"
46D___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Central or General Government Deposits, National Currency"
46D___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Central or General Government Deposits, US Dollars"
42A___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Central or General Government, National Currency"
42A___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Central or General Government, US Dollars"
42F_S_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Other Banking or Other Financial Institutions, National Currency"
42E___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Other Depository Corporations, National Currency"
42E___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Other Depository Corporations, US Dollars"
42G___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Other Financial Corporations, National Currency"
42D___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Private Sector, National Currency"
42D___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Private Sector, US Dollars"
42C___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Public Nonfinancial Corporations, National Currency"
42C___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on Public Nonfinancial Corporations, US Dollars"
42B___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on State and Local Government or Official Entities, National Currency"
42B___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Claims on State and Local Government or Official Entities, US Dollars"
46E___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Counterpart Funds, National Currency"
46G___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Credit from Central Bank, National Currency"
46G___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Credit from Central Bank, US Dollars"
46H___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Credit from Other Depository Corporations, National Currency"
46H___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Credit from Other Depository Corporations, US Dollars"
44____XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Demand Deposits, National Currency"
42H_S_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Fixed Assets, National Currency"
41____XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Foreign Assets, National Currency"
41____USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Foreign Assets, US Dollars"
46C___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Foreign Liabilities, National Currency"
46C___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Foreign Liabilities, US Dollars"
47D___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Insurance Technical Reserves, National Currency"
47D___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Insurance Technical Reserves, US Dollars"
_7K_D_USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), International Liquidity, Other Financial Intermediaries: Other Foreign Assets, US Dollars"
_7M_D_USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), International Liquidity, Other Financial Intermediaries: Other Foreign Liabilities, US Dollars"
46J___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Liabilities to Nonbank Financial Institutions, National Currency"
47R___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Other Items (Net), National Currency"
47R___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Other Items (Net), US Dollars"
42H_L_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Real Estate, National Currency"
40____XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Reserves, National Currency"
40____USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Reserves, US Dollars"
46B___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Restricted Deposits, National Currency"
46B___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Restricted Deposits, US Dollars"
46AB__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Securities Other Than Shares, Bonds, National Currency"
46AA__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Securities Other Than Shares, Money Market Instruments, National Currency"
46AB_V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Securities Other Than Shares, Variations of Bonds: Net Bonds, National Currency"
46AA_V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Securities Other Than Shares, Variations of Money Market Instruments: Credit Market Instruments, National Currency"
45____XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Time, Savings, and Foreign Currency Deposits, National Currency"
47A__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Capital Accounts, National Currency"
46DG__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Central or General Government Deposits: Central Government, Liabilities to Nonbank Public Financial Institutions, National Currency"
46D__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Central or General Government Deposits: Central Government, National Currency"
42A__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Central or General Government, National Currency"
42A__V2_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Central or General Government: Central Government, National Currency"
42AN__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Central or General Government: Central Government, Net Claims on Central or General Government, National Currency"
42E__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Other Depository Corporations, National Currency"
42D__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Private Sector, National Currency"
42DXS_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Private Sector, Policy Loans, National Currency"
42CG__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Public Nonfinancial Corporations, Claims on Nonbank Public Financial Institutions, National Currency"
42C__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on Public Nonfinancial Corporations, National Currency"
42BX__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on State and Local Government or Official Entities, Claims On Official Entities, National Currency"
42B__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on State and Local Government or Official Entities, National Currency"
42BX_V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Claims on State and Local Government or Official Entities, Variations of Claims On Official Entities, National Currency"
46G__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Credit from Central Bank, National Currency"
46H__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Credit from Other Depository Corporations, National Currency"
44___V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Demand Deposits, National Currency"
44Y___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Demand Deposits, Official Entities Deposits, National Currency"
44X___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Demand Deposits, Private Sector Deposits, National Currency"
41___V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Assets, National Currency"
41___V2_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Assets: Trust Accounts External Assets, National Currency"
41N___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Assets: Trust Accounts External Assets, Net Foreign Assets, National Currency"
46C__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Liabilities, National Currency"
46CL__XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Liabilities: Trust Accounts External Liabilities, Long-Term Foreign Liabilities, National Currency"
46C__V2_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Liabilities: Trust Accounts External Liabilities, National Currency"
46CL_V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Foreign Liabilities: Trust Accounts External Liabilities, Variations of Long-Term Foreign Liabilities, National Currency"
49Z__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Increase In Total Assets (Within Period), National Currency"
47D__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Insurance Technical Reserves, National Currency"
47R__V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Other Items (Net), National Currency"
40C___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Reserves, Claims on Central Bank: Securities, National Currency"
40C___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Reserves, Claims on Central Bank: Securities, US Dollars"
40___V2_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Reserves, National Currency"
40N___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Reserves, Other Claims on Central Bank, National Currency"
40N___USD,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Reserves, Other Claims on Central Bank, US Dollars"
40___V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Reserves: Cash, National Currency"
45___V2_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Time, Savings, and Foreign Currency Deposits: Postal Savings Deposits, National Currency"
45___V1_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Time, Savings, and Foreign Currency Deposits: Quasi-Monetary Liabilities, National Currency"
45___V3_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Time, Savings, and Foreign Currency Deposits: Time & Savings Deposits, National Currency"
45L___XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Time, Savings, and Foreign Currency Deposits: Trust Accounts Domestic Liabilities, Liquid Liabilities, National Currency"
45___V4_XDC,"Non-standardized Presentation (Other Banking Institutions and Nonbank Institutions), Variations of Time, Savings, and Foreign Currency Deposits: Trust Accounts Domestic Liabilities, National Currency"
RAFAFX_XDR,"Official Reserve Assets, Foreign Currency Reserves (in Convertible Foreign Currencies), SDRs"
RAFAGOLD_XDR,"Official Reserve Assets, Gold (Including Gold Deposits and, If Appropriate, Gold Swapped), SDRs"
RAFAGOLDV_USD,"Official Reserve Assets, Gold (Including Gold Deposits and, If Appropriate, Gold Swapped), Volume in Millions of Fine Troy Ounces, US Dollars"
RAFAGOLDV_OZT,"Official Reserve Assets, Gold (Including Gold Deposits and, If Appropriate, Gold Swapped), Volume, Fine Troy Ounces"
RAFAGOLDM_XDR,"Official Reserve Assets, Gold at Market Price, SDRs"
RAFAIMF_XDR,"Official Reserve Assets, IMF Reserve Position, SDRs"
RAFAIMF_USD,"Official Reserve Assets, IMF Reserve Position, US Dollars"
RAFA_XDR,"Official Reserve Assets, SDRs"
RAFASDR_XDR,"Official Reserve Assets, SDRs, SDRs"
RAFASDR_USD,"Official Reserve Assets, SDRs, US Dollars"
RAFA_USD,"Official Reserve Assets, US Dollars"
FOSAAC_EUR,"Other Depository Corporations Survey, Claims on Central Bank, Currency, Euros"
FOSAAC_XDC,"Other Depository Corporations Survey, Claims on Central Bank, Currency, National Currency"
FOSAAC_USD,"Other Depository Corporations Survey, Claims on Central Bank, Currency, US Dollars"
FOSAA_EUR,"Other Depository Corporations Survey, Claims on Central Bank, Euros"
FOSAA_XDC,"Other Depository Corporations Survey, Claims on Central Bank, National Currency"
FOSAAO_EUR,"Other Depository Corporations Survey, Claims on Central Bank, Other Claims on Central Bank, Euros"
FOSAAO_XDC,"Other Depository Corporations Survey, Claims on Central Bank, Other Claims on Central Bank, National Currency"
FOSAAO_USD,"Other Depository Corporations Survey, Claims on Central Bank, Other Claims on Central Bank, US Dollars"
FOSAAR_EUR,"Other Depository Corporations Survey, Claims on Central Bank, Reserve Deposits And Securities other than Shares, Euros"
FOSAAR_XDC,"Other Depository Corporations Survey, Claims on Central Bank, Reserve Deposits And Securities other than Shares, National Currency"
FOSAAR_USD,"Other Depository Corporations Survey, Claims on Central Bank, Reserve Deposits And Securities other than Shares, US Dollars"
FOSAA_USD,"Other Depository Corporations Survey, Claims on Central Bank, US Dollars"
FOSAGEA_EUR,"Other Depository Corporations Survey, Claims on Central Government (Euro Area-Wide-Residency), Euros"
FOSABEA_EUR,"Other Depository Corporations Survey, Claims on Depository Corporations in other EA countries (Euro area-Wide-Residency), Euros"
FOSAAEA_EUR,"Other Depository Corporations Survey, Claims on Eurosystem (Euro Area-Wide-Residency), Euros"
FOSGGEA_EUR,"Other Depository Corporations Survey, Claims on General Government (Euro area-Wide-Residency), Euros"
FOSAFEA_EUR,"Other Depository Corporations Survey, Claims on Nonresidents (Euro Area-Wide-Residency), Euros"
FOSAOFEA_EUR,"Other Depository Corporations Survey, Claims on Other Financial Corporations (Euro Area-Wide-Residency), Euros"
FOSAOEA_EUR,"Other Depository Corporations Survey, Claims on Other Sectors (Euro area-Wide-Residency), Euros"
FOSAOF_EUR,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Other Financial Corporations, Euros"
FOSAOF_XDC,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Other Financial Corporations, National Currency"
FOSAOF_USD,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Other Financial Corporations, US Dollars"
FOSAOP_EUR,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Private Sector, Euros"
FOSAOP_XDC,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Private Sector, National Currency"
FOSAOP_USD,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Private Sector, US Dollars"
FOSAON_EUR,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Public Non-financial Corporations, Euros"
FOSAON_XDC,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Public Non-financial Corporations, National Currency"
FOSAON_USD,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on Public Non-financial Corporations, US Dollars"
FOSAOG_EUR,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on State and Local Government, Euros"
FOSAOG_XDC,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on State and Local Government, National Currency"
FOSAOG_USD,"Other Depository Corporations Survey, Claims on Other Sectors, Claims on State and Local Government, US Dollars"
FOSAO_EUR,"Other Depository Corporations Survey, Claims on Other Sectors, Euros"
FOSAO_XDC,"Other Depository Corporations Survey, Claims on Other Sectors, National Currency"
FOSAO_USD,"Other Depository Corporations Survey, Claims on Other Sectors, US Dollars"
FOSAOPEA_EUR,"Other Depository Corporations Survey, Claims on Private  Sector (Euro Area-Wide-Residency), Euros"
FOSAONEA_EUR,"Other Depository Corporations Survey, Claims on Public Nonfinancial Corporations (Euro Area-Wide-Residency), Euros"
FOSAOGEA_EUR,"Other Depository Corporations Survey, Claims on State and Local Government (Euro Area-Wide-Residency), Euros"
FOSAACEA_EUR,"Other Depository Corporations Survey, Currency (Euro Area-Wide-Residency), Euros"
FOSDEA_EUR,"Other Depository Corporations Survey, Demand Deposits (Euro area-Wide-Residency), Euros"
FOSDXEA_EUR,"Other Depository Corporations Survey, Deposits Excluded from Broad Money (Euro Area-Wide-Residency), Euros"
FOSDX_EUR,"Other Depository Corporations Survey, Deposits Excluded from Broad Money, Euros"
FOSDX_XDC,"Other Depository Corporations Survey, Deposits Excluded from Broad Money, National Currency"
FOSDX_USD,"Other Depository Corporations Survey, Deposits Excluded from Broad Money, US Dollars"
FOSFDEA_EUR,"Other Depository Corporations Survey, Financial Derivatives (Euro Area-Wide-Residency), Euros"
FOSFD_EUR,"Other Depository Corporations Survey, Financial Derivatives, Euros"
FOSFD_XDC,"Other Depository Corporations Survey, Financial Derivatives, National Currency"
FOSFD_USD,"Other Depository Corporations Survey, Financial Derivatives, US Dollars"
FOSIEA_EUR,"Other Depository Corporations Survey, Insurance Technical Reserves ((Euro Area-Wide-Residency), Euros"
FOSI_EUR,"Other Depository Corporations Survey, Insurance Technical Reserves, Euros"
FOSI_XDC,"Other Depository Corporations Survey, Insurance Technical Reserves, National Currency"
FOSI_USD,"Other Depository Corporations Survey, Insurance Technical Reserves, US Dollars"
FOSLA_EUR,"Other Depository Corporations Survey, Liabilities to Central Bank, Euros"
FOSLA_XDC,"Other Depository Corporations Survey, Liabilities to Central Bank, National Currency"
FOSLA_USD,"Other Depository Corporations Survey, Liabilities to Central Bank, US Dollars"
FOSLGEA_EUR,"Other Depository Corporations Survey, Liabilities to Central Government (Euro area-Wide-Residency), Euros"
FOSLDEA_EUR,"Other Depository Corporations Survey, Liabilities to Depository Corporations in Other EA Countries (Euro area-Wide-Residency), Euros"
FOSLAEA_EUR,"Other Depository Corporations Survey, Liabilities to Eurosystem (Euro Area-Wide-Residency), Euros"
FOSLFEA_EUR,"Other Depository Corporations Survey, Liabilities to Nonresidents (Euro Area-Wide-Residency), Euros"
FOSLEA_EUR,"Other Depository Corporations Survey, Loans (Euro Area-Wide-Residency), Euros"
FOSL_EUR,"Other Depository Corporations Survey, Loans, Euros"
FOSL_XDC,"Other Depository Corporations Survey, Loans, National Currency"
FOSL_USD,"Other Depository Corporations Survey, Loans, US Dollars"
FOSMFEA_EUR,"Other Depository Corporations Survey, Money Market Fund Shares (Euro area-Wide-Residency), Euros"
FOSGEA_EUR,"Other Depository Corporations Survey, Net Claims on Central Government (Euro Area-Wide-Residency), Euros"
FOSAG_EUR,"Other Depository Corporations Survey, Net Claims on Central Government, Claims on Central Government, Euros"
FOSAG_XDC,"Other Depository Corporations Survey, Net Claims on Central Government, Claims on Central Government, National Currency"
FOSAG_USD,"Other Depository Corporations Survey, Net Claims on Central Government, Claims on Central Government, US Dollars"
FOSG_EUR,"Other Depository Corporations Survey, Net Claims on Central Government, Euros"
FOSLG_EUR,"Other Depository Corporations Survey, Net Claims on Central Government, Liabilities to Central Government, Euros"
FOSLG_XDC,"Other Depository Corporations Survey, Net Claims on Central Government, Liabilities to Central Government, National Currency"
FOSLG_USD,"Other Depository Corporations Survey, Net Claims on Central Government, Liabilities to Central Government, US Dollars"
FOSG_XDC,"Other Depository Corporations Survey, Net Claims on Central Government, National Currency"
FOSG_USD,"Other Depository Corporations Survey, Net Claims on Central Government, US Dollars"
FOSGNEA_EUR,"Other Depository Corporations Survey, Net Claims on General Government (Euro area-Wide-Residency), Euros"
FOSFEA_EUR,"Other Depository Corporations Survey, Net Foreign Assets (Euro Area-Wide-Residency), Euros"
FOSAF_EUR,"Other Depository Corporations Survey, Net Foreign Assets, Claims on Non-residents, Euros"
FOSAF_XDC,"Other Depository Corporations Survey, Net Foreign Assets, Claims on Non-residents, National Currency"
FOSAF_USD,"Other Depository Corporations Survey, Net Foreign Assets, Claims on Non-residents, US Dollars"
FOSF_EUR,"Other Depository Corporations Survey, Net Foreign Assets, Euros"
FOSLF_EUR,"Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Non-residents, Euros"
FOSLF_XDC,"Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Non-residents, National Currency"
FOSLF_USD,"Other Depository Corporations Survey, Net Foreign Assets, Liabilities to Non-residents, US Dollars"
FOSF_XDC,"Other Depository Corporations Survey, Net Foreign Assets, National Currency"
FOSF_USD,"Other Depository Corporations Survey, Net Foreign Assets, US Dollars"
FOSAAOEA_EUR,"Other Depository Corporations Survey, Other Claims on Central Bank (Euro Area-Wide-Residency), Euros"
FOSODEA_EUR,"Other Depository Corporations Survey, Other Deposits (Euro area-Wide-Residency), Euros"
FOSD_EUR,"Other Depository Corporations Survey, Other Deposits Included In Broad Money, Euros"
FOSD_XDC,"Other Depository Corporations Survey, Other Deposits Included In Broad Money, National Currency"
FOSD_USD,"Other Depository Corporations Survey, Other Deposits Included In Broad Money, US Dollars"
FOSO_EUR,"Other Depository Corporations Survey, Other Items (Net), Euros"
FOSO_XDC,"Other Depository Corporations Survey, Other Items (Net), National Currency"
FOSO_USD,"Other Depository Corporations Survey, Other Items (Net), US Dollars"
FOSOEA_EUR,"Other Depository Corporations Survey, Other Items Net (Euro Area-Wide-Residency), Euros"
FOSAAREA_EUR,"Other Depository Corporations Survey, Reserve Deposits and Securities Other than Shares (Euro Area-Wide-Residency), Euros"
FOSSEA_EUR,"Other Depository Corporations Survey, Securities Other Than Shares (Euro area-Wide-Residency), Euros"
FOSSXEA_EUR,"Other Depository Corporations Survey, Securities Other than Shares excl. from Broad Money (Euro Area-Wide-Residency), Euros"
FOSSX_EUR,"Other Depository Corporations Survey, Securities other than Shares Excluded from Broad Money, Euros"
FOSSX_XDC,"Other Depository Corporations Survey, Securities other than Shares Excluded from Broad Money, National Currency"
FOSSX_USD,"Other Depository Corporations Survey, Securities other than Shares Excluded from Broad Money, US Dollars"
FOSS_EUR,"Other Depository Corporations Survey, Securities other than Shares Included In Broad Money, Euros"
FOSS_XDC,"Other Depository Corporations Survey, Securities other than Shares Included In Broad Money, National Currency"
FOSS_USD,"Other Depository Corporations Survey, Securities other than Shares Included In Broad Money, US Dollars"
